Size;Generation(µs);Serialization(µs);ToRedis(µs)
256x256;6328;113;758
128x128;1749;33;305
512x512;24882;203;1344
256x256;6001;38;471
128x128;1598;8;196
256x256;6045;17;346
512x512;24462;178;1158
512x512;24122;181;1328
256x256;6133;37;349
256x256;6133;17;519
512x512;24240;167;1311
128x128;1487;8;152
256x256;5985;31;452
512x512;24124;163;1264
256x256;6188;33;412
128x128;1600;7;221
256x256;6091;17;413
512x512;23934;226;1256
256x256;6212;31;339
256x256;6152;16;527
128x128;1602;7;242
128x128;1614;4;249
256x256;6012;16;410
128x128;1574;4;128
128x128;1609;3;193
512x512;24274;162;1263
512x512;24080;155;1146
128x128;1536;9;229
512x512;24242;167;1111
128x128;1590;7;193
512x512;24036;151;1216
512x512;24168;194;1325
256x256;6217;38;567
512x512;24086;194;1377
256x256;5990;39;342
128x128;1550;8;195
128x128;1537;5;123
128x128;1576;5;198
128x128;1579;5;121
256x256;6056;22;348
512x512;24247;186;1062
128x128;1544;7;266
128x128;1546;4;191
128x128;1501;4;255
256x256;5990;32;379
512x512;24287;193;1087
512x512;24099;188;1303
128x128;1534;8;152
128x128;1582;6;138
512x512;24194;185;1582
256x256;6164;47;431
128x128;1550;8;248
512x512;24037;192;1390
512x512;23886;183;1066
512x512;24324;189;1168
128x128;1594;8;193
128x128;1542;3;163
256x256;5998;38;361
256x256;6172;24;390
128x128;1530;4;201
512x512;24134;189;1088
256x256;6151;37;304
128x128;1616;7;135
512x512;23943;182;1336
256x256;6175;35;479
256x256;6147;32;498
256x256;6257;25;360
256x256;6245;19;495
256x256;6204;19;465
256x256;6296;17;597
128x128;1544;8;261
128x128;1482;4;249
512x512;24064;186;1331
256x256;6141;37;426
512x512;24102;165;1136
512x512;24146;170;1526
256x256;5988;38;458
256x256;6101;17;424
256x256;6145;16;416
256x256;6155;16;527
512x512;24288;170;1275
256x256;6104;30;424
256x256;6131;16;366
512x512;24069;165;1312
128x128;1591;8;192
256x256;6115;28;442
128x128;1544;3;319
128x128;1536;4;179
256x256;5976;17;488
256x256;6119;16;386
256x256;6197;16;411
256x256;6272;16;403
256x256;6312;17;338
128x128;1566;4;220
256x256;6097;16;582
512x512;23961;162;1429
256x256;6083;31;494
256x256;6234;16;459
256x256;6305;20;288
256x256;6115;16;409
256x256;6176;17;409
