Size;Generation(µs);Sending(µs)
512x512;23802;16998
512x512;23822;16348
256x256;5867;3237
256x256;5919;3713
128x128;1466;112
128x128;1477;105
512x512;23854;16359
512x512;23618;16861
128x128;1471;110
512x512;23578;16411
128x128;1533;105
256x256;6126;3440
128x128;1445;106
512x512;23456;16944
256x256;6158;3628
256x256;6032;3539
128x128;1538;147
256x256;6093;3413
128x128;1488;109
128x128;1534;158
512x512;23955;16688
128x128;1466;111
256x256;5895;3460
128x128;1479;109
128x128;1486;107
256x256;5915;3771
256x256;5859;3259
512x512;23600;16508
128x128;1459;111
256x256;5914;3999
512x512;23788;16891
512x512;24189;17044
512x512;23780;16690
512x512;24264;16699
512x512;23936;16675
128x128;1494;114
128x128;1510;120
512x512;24119;16657
256x256;5951;3477
256x256;5913;3458
128x128;1476;116
512x512;24236;16582
128x128;1538;121
512x512;24252;16493
512x512;23875;16524
256x256;6162;3603
256x256;6114;3515
512x512;24525;16662
128x128;1484;164
512x512;24893;16675
512x512;23735;16826
512x512;23960;16839
512x512;23384;16460
512x512;23878;17106
512x512;23640;16912
128x128;1468;115
128x128;1469;107
256x256;5900;3182
512x512;23479;16941
512x512;23649;16366
128x128;1477;110
128x128;1516;110
256x256;5879;3401
512x512;23817;16851
512x512;23499;17175
256x256;5976;3668
512x512;23566;17041
128x128;1490;113
128x128;1514;165
256x256;5966;3921
512x512;23404;16890
512x512;23573;16845
512x512;23615;16398
128x128;1484;109
256x256;6047;3951
128x128;1480;115
128x128;1453;111
128x128;1483;111
256x256;6094;3518
512x512;23644;17062
128x128;1479;115
512x512;23713;16722
512x512;23388;16904
128x128;1493;118
512x512;23648;16991
512x512;23929;16879
256x256;5890;3176
256x256;5909;3776
512x512;23437;17199
512x512;23572;16635
128x128;1478;108
512x512;23652;17169
512x512;23427;16593
128x128;1477;111
128x128;1466;107
512x512;23567;16461
512x512;23717;16943
128x128;1482;110
256x256;5876;3676
128x128;1490;117
128x128;1498;110
128x128;1473;109
512x512;23591;16650
512x512;23703;16924
256x256;5898;3972
128x128;1524;112
512x512;23700;16953
256x256;5879;3485
256x256;5944;3422
256x256;5913;3703
256x256;5868;3216
512x512;23609;17122
512x512;23195;17191
128x128;1519;113
512x512;23901;17070
128x128;1702;166
512x512;24213;16603
256x256;6028;3664
256x256;5968;3501
512x512;24060;16911
512x512;23819;17106
512x512;24118;16780
512x512;24847;16602
512x512;23927;17052
256x256;5917;3673
512x512;25408;16938
128x128;1481;118
512x512;24047;16670
128x128;1570;112
128x128;1512;116
256x256;5944;3529
128x128;1521;123
256x256;5980;3395
128x128;1479;158
128x128;1467;113
256x256;5942;3172
512x512;23639;17118
512x512;24860;16488
512x512;24906;16377
128x128;1555;189
256x256;6285;3718
256x256;6082;3551
256x256;6755;3662
128x128;1786;155
512x512;24040;16903
512x512;23770;16963
512x512;23715;16411
512x512;23629;17120
128x128;1466;119
256x256;5871;3876
256x256;5892;3477
128x128;1480;109
512x512;23685;16943
256x256;5896;3335
512x512;23442;16595
512x512;24042;17095
256x256;5941;3477
512x512;24012;16743
512x512;23480;16992
512x512;23867;16811
512x512;23903;16733
128x128;1486;110
256x256;6025;3501
512x512;23611;16634
512x512;23613;16441
512x512;23777;16772
256x256;5822;3882
256x256;5871;3312
256x256;5911;3645
128x128;1536;115
512x512;23492;17015
256x256;6137;3972
128x128;1476;114
512x512;23583;16699
512x512;23800;16627
128x128;1468;109
512x512;23873;16629
512x512;23619;16822
512x512;23447;16932
256x256;5893;3505
128x128;1470;108
256x256;5924;3180
128x128;1474;109
512x512;23602;16493
256x256;5856;3418
128x128;1493;111
128x128;1486;123
256x256;5927;3718
256x256;5885;3434
512x512;23733;16948
128x128;1511;114
512x512;23939;16979
256x256;5900;3813
256x256;6173;3720
512x512;23483;16956
512x512;24001;17141
512x512;23458;16649
256x256;5907;3255
512x512;23629;16844
256x256;5814;3714
128x128;1494;112
512x512;23393;16922
512x512;22883;16730
128x128;1476;105
256x256;5829;3234
128x128;1476;108
256x256;5751;3493
128x128;1552;107
256x256;5938;3184
256x256;6175;3275
512x512;23584;16684
256x256;6081;3637
256x256;5998;3528
128x128;1476;111
128x128;1463;106
512x512;23684;17079
128x128;1558;121
512x512;23575;16821
512x512;23471;16705
256x256;6026;3985
256x256;5854;3436
256x256;6036;3274
512x512;23709;22102
128x128;1637;150
512x512;25916;19261
256x256;6144;3443
256x256;6157;3613
256x256;6121;3485
256x256;6015;3683
128x128;1533;116
256x256;5886;3265
256x256;5900;3233
128x128;1463;109
512x512;23519;16815
128x128;1466;111
256x256;5920;3839
512x512;23493;16626
512x512;23335;16682
512x512;22866;17169
512x512;23869;16896
128x128;1544;149
512x512;24098;16973
256x256;5866;4014
256x256;6085;3736
256x256;5897;3435
512x512;23546;16468
256x256;6121;3894
128x128;1478;112
512x512;23428;16535
256x256;6175;3459
128x128;1467;113
128x128;1481;139
256x256;5870;3934
512x512;23557;16348
128x128;1467;112
128x128;1478;118
128x128;1452;111
512x512;23573;16906
128x128;1480;117
512x512;23680;16884
512x512;23705;16490
512x512;23620;16837
256x256;5871;3532
128x128;1457;115
128x128;1474;108
128x128;1492;113
512x512;23546;16886
256x256;5913;3594
512x512;23556;16723
256x256;5905;3805
128x128;1609;113
128x128;1478;106
128x128;1462;117
256x256;6083;3622
128x128;1472;112
128x128;1479;108
128x128;1481;107
512x512;23559;16851
256x256;6059;3432
256x256;5909;4004
512x512;23468;17178
512x512;25094;18994
512x512;24597;16408
512x512;23960;17017
256x256;5915;3450
512x512;23988;16961
512x512;23843;16587
128x128;1514;113
512x512;24171;16792
128x128;1519;159
512x512;24184;16772
256x256;6142;3529
512x512;26956;17064
256x256;6329;3255
256x256;6539;3481
512x512;25852;16630
512x512;25598;16786
128x128;1532;115
256x256;6056;3501
256x256;6023;3598
256x256;5985;3544
512x512;24120;16671
128x128;1502;149
128x128;1494;111
256x256;5944;3577
256x256;5896;3659
128x128;1511;110
128x128;1470;107
128x128;1476;109
512x512;23628;16808
512x512;23396;16638
512x512;23979;18249
512x512;30025;16533
256x256;5909;3661
128x128;1467;116
512x512;23677;16935
128x128;1468;125
512x512;23709;17084
256x256;5912;3705
256x256;6039;3661
512x512;23544;16743
256x256;5911;3718
512x512;23391;17021
128x128;1480;116
128x128;1473;107
256x256;5904;3631
128x128;1509;115
512x512;23651;16923
512x512;23621;16829
256x256;6049;3707
512x512;23759;16642
256x256;6087;3389
128x128;1483;110
128x128;1480;106
128x128;1478;106
128x128;1476;106
512x512;23535;16575
512x512;23957;16629
128x128;1463;153
256x256;6016;3442
512x512;23631;16595
128x128;1530;107
512x512;24019;16688
512x512;23658;16835
512x512;23960;16649
256x256;6028;3399
512x512;24384;16363
512x512;24926;16757
128x128;1489;194
128x128;1551;134
512x512;23984;16662
128x128;1515;120
512x512;23531;17121
128x128;1564;128
128x128;1481;108
128x128;1579;107
256x256;6052;3156
128x128;1548;129
128x128;1464;116
128x128;1588;109
256x256;5963;3716
128x128;1531;119
256x256;6022;3696
512x512;24049;17008
256x256;5941;3554
128x128;1510;121
512x512;23818;17057
128x128;1559;117
128x128;1501;165
128x128;1512;113
128x128;1538;110
256x256;5931;3515
256x256;6090;3483
128x128;1541;158
128x128;1463;107
256x256;6118;3707
256x256;6021;3777
512x512;24078;16824
256x256;5929;3444
128x128;1580;143
128x128;1505;207
512x512;24098;16692
256x256;5888;3621
512x512;24160;17009
512x512;23617;16426
256x256;6025;4021
128x128;1569;111
256x256;5947;3481
128x128;1469;106
128x128;1477;109
256x256;5879;3594
256x256;5909;3753
512x512;23561;16613
256x256;5925;3760
256x256;6140;3737
512x512;23844;16851
128x128;1491;112
128x128;1479;114
128x128;1511;119
128x128;1472;111
512x512;23474;16487
256x256;6061;3721
256x256;6057;3652
256x256;5960;3757
512x512;23591;16414
128x128;1476;111
512x512;23586;16416
256x256;5994;3805
128x128;1476;151
128x128;1468;109
128x128;1508;110
512x512;23612;16755
128x128;1504;111
128x128;1527;113
512x512;23616;16385
256x256;5929;3293
512x512;23537;16959
256x256;6220;3236
128x128;1462;108
512x512;23700;16791
256x256;5900;3888
128x128;1522;112
256x256;6183;3605
512x512;23921;17062
512x512;23704;17004
512x512;23880;16413
128x128;1509;119
256x256;6025;3752
256x256;5994;3767
128x128;1485;113
512x512;23367;16883
128x128;1474;118
512x512;23606;16392
128x128;1532;108
512x512;23787;16747
512x512;23913;16437
128x128;1471;112
128x128;1459;109
512x512;23602;16640
128x128;1493;107
128x128;1466;106
512x512;23622;17085
128x128;1459;111
256x256;5901;3161
256x256;6006;3182
512x512;23828;17067
512x512;23651;16839
128x128;1483;114
256x256;5856;3977
512x512;23625;16602
128x128;1479;108
256x256;5932;3570
512x512;23507;16405
256x256;5908;3768
128x128;1464;127
128x128;1479;111
128x128;1475;105
256x256;6069;3538
512x512;23667;16408
512x512;23681;16430
512x512;23683;16956
256x256;5907;3157
256x256;5930;3460
256x256;5914;3856
256x256;5922;3697
256x256;5925;3480
256x256;5854;3635
128x128;1478;123
512x512;24028;16839
256x256;5902;3470
512x512;23426;16602
128x128;1475;119
512x512;23402;16923
