Size;Validation(µs)
128x128;79
512x512;16846
512x512;16958
512x512;16853
128x128;72
256x256;3477
128x128;28
128x128;71
512x512;16680
128x128;95
256x256;3502
256x256;3483
512x512;16749
256x256;3555
256x256;3393
512x512;16651
