Size;Generation(µs);ToString(µs);ToRedis(µs)
128x128;6180;892;154
256x256;25096;3496;1914
128x128;6375;864;123
512x512;102892;14319;1123
128x128;6439;891;139
256x256;25719;4223;310
256x256;25685;3501;283
512x512;103735;14300;978
128x128;6350;912;180
128x128;6378;892;148
1024x1024;419917;58339;13025
2048x2048;1753234;262270;60713
128x128;6298;876;3906
256x256;26139;3629;445
2048x2048;1707061;251319;60326
2048x2048;1708449;256016;63028
1024x1024;428485;62121;15460
256x256;25877;3594;1195
256x256;25886;3901;408
2048x2048;1752935;256424;62287
1024x1024;421334;61055;13902
256x256;25928;4083;1504
512x512;107685;15851;2450
128x128;6958;1077;256
1024x1024;424782;59052;12818
128x128;6324;889;1209
512x512;105251;15413;3078
128x128;6459;870;156
2048x2048;1742110;257293;64616
2048x2048;1725563;259851;64529
512x512;104444;14939;4754
2048x2048;1707680;250975;63601
128x128;6271;912;8826
256x256;26038;3574;492
1024x1024;413858;58826;12893
128x128;6327;881;1186
128x128;6377;910;336
1024x1024;425291;60278;13542
1024x1024;425404;59998;13535
1024x1024;427144;58244;13349
512x512;103673;14064;3327
512x512;103630;14852;1789
1024x1024;419411;58152;12845
256x256;25823;3459;1295
512x512;102802;14598;2592
128x128;6708;923;159
128x128;6230;869;117
256x256;25771;3626;291
128x128;6265;869;144
1024x1024;418231;57925;12265
2048x2048;1698482;246002;62026
256x256;25109;3472;3686
512x512;101418;14334;952
512x512;101362;14345;1282
512x512;101879;14519;2457
1024x1024;411577;58508;12087
2048x2048;1686232;238077;62068
128x128;6207;893;4224
2048x2048;1657551;243663;63668
2048x2048;1662751;241573;65805
256x256;26174;3575;3732
2048x2048;1703481;242179;61775
512x512;107697;14613;3898
256x256;25663;3538;675
128x128;6363;879;292
128x128;6376;877;187
512x512;102272;14522;984
256x256;25692;3553;567
128x128;6338;884;174
2048x2048;1684808;239552;63475
1024x1024;415222;58037;15352
256x256;25376;3507;1546
256x256;24986;3447;792
1024x1024;416620;58080;13465
2048x2048;1695974;243675;62308
2048x2048;1688418;245292;63545
512x512;102584;14059;3972
256x256;25453;3521;1406
2048x2048;1667959;240551;63596
1024x1024;409965;57616;19298
256x256;25839;3518;1230
128x128;6365;871;193
1024x1024;416610;57301;12250
128x128;6289;872;1091
256x256;25157;3524;475
1024x1024;413124;55997;12040
128x128;6860;870;1262
1024x1024;413939;56792;12141
2048x2048;1724109;265877;64332
256x256;28256;4180;3640
256x256;27588;3829;714
512x512;103598;14754;1813
128x128;6494;896;249
256x256;25972;3609;319
2048x2048;1715673;258195;64176
512x512;105468;15309;4042
128x128;6573;1088;181
256x256;25673;3921;354
512x512;101992;14074;982
1024x1024;412051;60189;12321
512x512;103207;14513;4169
128x128;6634;889;393
1024x1024;414684;56417;12308
128x128;6697;859;1133
2048x2048;1688879;246733;60068
128x128;6280;905;4186
2048x2048;1680453;244081;58509
2048x2048;1732095;243112;62982
512x512;106388;14266;4125
512x512;103258;14758;1306
2048x2048;1706831;244314;62828
2048x2048;1669227;239731;63704
256x256;25439;3874;4738
128x128;6770;864;243
512x512;99878;14091;1668
2048x2048;1676730;240974;62512
512x512;101056;14109;3918
1024x1024;407502;58061;12613
128x128;6446;864;1212
512x512;101841;13918;2624
256x256;25234;3501;317
512x512;101919;14557;876
128x128;6831;888;122
512x512;101373;13993;1088
1024x1024;413952;56559;13072
2048x2048;1683212;235019;62235
256x256;26261;3928;3229
512x512;102734;14162;2626
512x512;101873;14698;1681
128x128;6361;859;129
128x128;6198;859;89
512x512;100391;13909;960
256x256;25412;3526;331
1024x1024;408397;58785;12519
512x512;102461;14200;4004
512x512;102202;14067;1168
512x512;105617;14420;954
256x256;26194;3498;321
2048x2048;1682912;240182;61794
128x128;6207;864;10310
512x512;100457;14539;1639
512x512;100824;13914;2247
2048x2048;1659646;246896;61066
512x512;103046;13947;5363
512x512;100225;14065;1180
1024x1024;405924;55909;12207
1024x1024;418366;56767;12827
128x128;6709;876;1369
128x128;6129;868;227
2048x2048;1666659;246580;63246
2048x2048;1657607;239256;62966
1024x1024;406104;59096;15587
128x128;6307;875;1138
512x512;99785;14639;2630
1024x1024;412599;55666;12882
1024x1024;414951;55583;13411
1024x1024;415635;56214;13199
128x128;6305;883;1183
128x128;6471;877;272
1024x1024;412112;59104;13363
256x256;25513;3525;1370
512x512;103533;14238;3362
1024x1024;414510;56490;12686
1024x1024;416994;56248;12718
128x128;6290;864;1228
1024x1024;413825;57302;12937
1024x1024;413801;57080;13393
128x128;6330;919;912
512x512;101767;13903;2789
256x256;25586;3565;671
2048x2048;1678569;238752;65375
128x128;6497;868;6394
256x256;25513;3511;699
1024x1024;405719;56279;12077
1024x1024;414288;57749;12494
1024x1024;420239;62187;13847
512x512;105944;14738;4332
2048x2048;1680926;244084;63271
1024x1024;407639;56860;14775
2048x2048;1681638;237271;61771
2048x2048;1678419;243086;63313
1024x1024;413358;57712;15079
256x256;25398;3675;1402
256x256;25176;3464;657
256x256;24970;3497;507
2048x2048;1689394;241448;63529
512x512;100700;14218;3800
256x256;25620;3439;758
2048x2048;1684519;240965;63589
256x256;25873;3481;3317
512x512;103955;14016;1528
256x256;25568;3757;529
2048x2048;1662268;244163;63396
2048x2048;1681510;246901;63979
512x512;102359;14127;4422
1024x1024;411077;58449;12749
512x512;103460;14804;3608
256x256;26618;3591;1122
2048x2048;1686131;236457;63107
1024x1024;408668;56860;15006
256x256;25929;3533;1626
512x512;103570;15404;2984
128x128;6467;936;233
1024x1024;417732;56477;12393
2048x2048;1679432;240301;64286
256x256;26593;4316;3601
2048x2048;1685804;249653;64593
128x128;6914;883;3886
1024x1024;416067;57140;12206
2048x2048;1692159;243454;59678
1024x1024;408379;56768;14893
2048x2048;1675251;242986;63173
1024x1024;409071;57699;15110
256x256;25357;3456;1322
128x128;6261;867;344
2048x2048;1696426;244743;63624
512x512;105718;14730;4444
2048x2048;1677652;244450;64363
128x128;6304;874;6217
1024x1024;412916;57399;13434
256x256;25263;3471;1570
2048x2048;1703761;241864;64279
1024x1024;407809;57669;14926
2048x2048;1703747;243320;65399
1024x1024;410596;58420;15439
512x512;103121;14102;4458
128x128;6710;874;477
512x512;102837;15313;1688
1024x1024;411011;58241;12263
512x512;102521;14681;3410
1024x1024;421241;56938;13067
1024x1024;416400;57779;13367
2048x2048;1682522;239964;63129
256x256;25492;3520;3634
256x256;25863;3532;752
256x256;25628;3541;430
2048x2048;1676054;242861;64467
2048x2048;1664979;242178;61945
2048x2048;1683100;243166;63119
2048x2048;1680622;245896;62462
256x256;25555;3742;5843
512x512;105719;14571;1706
512x512;108426;15267;2232
2048x2048;1711063;244051;61632
2048x2048;1710881;245593;60897
1024x1024;411278;59170;15036
128x128;6336;913;1113
1024x1024;421448;58325;12311
128x128;6282;877;1453
512x512;103494;14658;3612
128x128;6412;889;266
128x128;6298;879;116
256x256;26112;3479;289
2048x2048;1702301;242597;65014
2048x2048;1685163;238233;64446
256x256;25960;3504;4531
128x128;6314;906;303
128x128;6570;901;423
1024x1024;407876;56946;12012
1024x1024;419419;56274;12596
1024x1024;419090;57450;13179
2048x2048;1674782;240746;62208
512x512;101867;14234;5946
256x256;26501;3487;459
256x256;26670;3532;348
512x512;102230;14291;1502
128x128;6903;904;306
2048x2048;1672763;240821;63581
256x256;25652;3527;3476
128x128;6266;869;387
512x512;101666;14046;1156
128x128;6861;875;261
128x128;6182;872;149
512x512;101192;14057;890
